,freq,epsilon_r,epsilon_i
118,77950000000.0,2.179913834854556,0.02103157047205538
119,77975000000.0,2.1795726484501774,0.02129769452189902
120,78000000000.0,2.179229842570086,0.02155047302106777
121,78025000000.0,2.1788861128562416,0.02179004184815754
122,78050000000.0,2.1785421378605982,0.022016570577118352
123,78075000000.0,2.1781985774243773,0.02223026167041768
124,78100000000.0,2.1778560711112784,0.0224313494591228
125,78125000000.0,2.177515236738416,0.022620099160345918
126,78150000000.0,2.177176668980398,0.02279680569284206
127,78175000000.0,2.176840938054816,0.02296179245596209
128,78200000000.0,2.176508588482045,0.023115410021413017
129,78225000000.0,2.1761801379312304,0.02325803474497308
130,78250000000.0,2.1758560761975807,0.023390067304672087
131,78275000000.0,2.175536864210065,0.02351193117408513
132,78300000000.0,2.1752229331643744,0.023624071041249382
133,78325000000.0,2.174914683771603,0.023726951166032764
