freq,epsilon_r       ,epsilon_i       
78600000000,1.972,-0.00349
78628571429,1.972,-0.00356
78657142857,1.972,-0.00362
78685714286,1.972,-0.00368
78714285714,1.972,-0.00374
78742857143,1.972,-0.0038
78771428571,1.972,-0.00386
78800000000,1.972,-0.00391
78828571429,1.972,-0.00397
78857142857,1.972,-0.00402
78885714286,1.972,-0.00407
78914285714,1.972,-0.00412
78942857143,1.972,-0.00417
78971428571,1.972,-0.00421
79000000000,1.972,-0.00426
79028571429,1.972,-0.0043
79057142857,1.972,-0.00434
79085714286,1.972,-0.00438
79114285714,1.972,-0.00442
79142857143,1.972,-0.00445
79171428571,1.972,-0.00449
79200000000,1.972,-0.00452
79228571429,1.972,-0.00455
79257142857,1.972,-0.00458
79285714286,1.972,-0.00461
79314285714,1.972,-0.00464
79342857143,1.972,-0.00466
79371428571,1.972,-0.00468
79400000000,1.972,-0.0047
79428571429,1.972,-0.00472
79457142857,1.972,-0.00474
79485714286,1.972,-0.00476
79514285714,1.972,-0.00477
79542857143,1.972,-0.00479
79571428571,1.972,-0.0048
79600000000,1.972,-0.00481
79628571429,1.972,-0.00481
79657142857,1.972,-0.00482
79685714286,1.972,-0.00565
79714285714,1.972,-0.00564
79742857143,1.972,-0.00564
79771428571,1.972,-0.00563
79800000000,1.972,-0.00563
79828571429,1.972,-0.00562
79857142857,1.972,-0.00561
79885714286,1.972,-0.00481
79914285714,1.972,-0.0048
79942857143,1.972,-0.00479
79971428571,1.972,-0.00478
80000000000,1.972,-0.00477
80028571429,1.972,-0.00475
80057142857,1.972,-0.00474
80085714286,1.972,-0.00472
80114285714,1.972,-0.0047
80142857143,1.972,-0.00468
80171428571,1.972,-0.00466
80200000000,1.972,-0.00463
80228571429,1.972,-0.00461
80257142857,1.972,-0.00458
80285714286,1.972,-0.00455
80314285714,1.972,-0.00452
80342857143,1.972,-0.00449
80371428571,1.972,-0.00446
80400000000,1.972,-0.00442
80428571429,1.972,-0.00439
80457142857,1.972,-0.00435
80485714286,1.972,-0.00432
80514285714,1.972,-0.00428
80542857143,1.972,-0.00424
