n,x,y
79,1253.941678546157,-3.637978807091713e-12
80,1253.9915730635166,-6.366462912410498e-12
81,1254.0414675808763,-9.094947017729282e-12
82,1254.091362098236,-1.0913936421275139e-11
83,1254.1412566155957,-1.2732925824820995e-11
84,1254.1911511329554,-1.546140993013978e-11
85,1254.241045650315,-1.8189894035458565e-11
86,1254.2909401676748,-2.000888343900442e-11
87,1254.3408346850345,-2.091837814077735e-11
88,1254.3907292023941,-2.1827872842550278e-11
89,1254.4406237197538,-2.1827872842550278e-11
90,1254.4905182371133,-2.1827872842550278e-11
91,1254.540412754473,-2.2737367544323206e-11
92,1254.5903072718327,-2.1827872842550278e-11
93,1254.6402017891924,-2.1827872842550278e-11
94,1254.690096306552,-2.000888343900442e-11
95,1254.7399908239117,-2.000888343900442e-11
96,1254.7898853412714,-1.8189894035458565e-11
97,1254.8397798586311,-1.8189894035458565e-11
98,1254.8896743759908,-1.7280399333685637e-11
99,1254.9395688933505,-1.546140993013978e-11
100,1254.9894634107102,-1.4551915228366852e-11
101,1255.0393579280696,-1.3642420526593924e-11
102,1255.0892524454293,-1.2732925824820995e-11
103,1255.139146962789,-1.2732925824820995e-11
104,1255.1890414801487,-1.0913936421275139e-11
105,1255.2389359975084,-1.000444171950221e-11
106,1255.288830514868,-9.094947017729282e-12
107,1255.3387250322278,-8.185452315956354e-12
108,1255.3886195495875,-8.185452315956354e-12
109,1255.4385140669472,-8.185452315956354e-12
110,1255.4884085843069,-8.185452315956354e-12
111,1255.5383031016665,-8.185452315956354e-12
112,1255.588197619026,-9.094947017729282e-12
113,1255.6380921363857,-1.000444171950221e-11
114,1255.6879866537454,-9.094947017729282e-12
115,1255.737881171105,-8.185452315956354e-12
116,1255.7877756884648,-8.185452315956354e-12
117,1255.8376702058245,-6.366462912410498e-12
118,1255.8875647231841,-5.4569682106375694e-12
119,1255.9374592405438,-5.4569682106375694e-12
120,1255.9873537579035,-3.637978807091713e-12
121,1256.0372482752632,-2.7284841053187847e-12
122,1256.087142792623,-1.8189894035458565e-12
123,1256.1370373099824,0.0
124,1256.186931827342,1.8189894035458565e-12
125,1256.2368263447017,3.637978807091713e-12
126,1256.2867208620614,4.547473508864641e-12
127,1256.3366153794211,7.275957614183426e-12
128,1256.3865098967808,9.094947017729282e-12
129,1256.4364044141405,1.000444171950221e-11
130,1256.4862989315002,1.1823431123048067e-11
131,1256.5361934488599,1.4551915228366852e-11
132,1256.5860879662196,1.7280399333685637e-11
133,1256.6359824835793,1.9099388737231493e-11
134,1256.6858770009387,2.000888343900442e-11
