n,x,y
138,1256.8854550703775,-2.091837814077735e-11
139,1256.9353495877372,-2.2737367544323206e-11
140,1256.9852441050969,-2.4556356947869062e-11
141,1257.0351386224565,-2.546585164964199e-11
142,1257.0850331398162,-2.7284841053187847e-11
143,1257.134927657176,-2.8194335754960775e-11
144,1257.1848221745356,-2.9103830456733704e-11
145,1257.234716691895,-2.9103830456733704e-11
146,1257.2846112092548,-3.001332515850663e-11
147,1257.3345057266145,-3.001332515850663e-11
148,1257.3844002439741,-3.001332515850663e-11
149,1257.4342947613338,-3.092281986027956e-11
150,1257.4841892786935,-3.183231456205249e-11
151,1257.5340837960532,-3.2741809263825417e-11
152,1257.583978313413,-3.2741809263825417e-11
153,1257.6338728307726,-3.2741809263825417e-11
154,1257.6837673481323,-3.2741809263825417e-11
155,1257.733661865492,-3.183231456205249e-11
156,1257.7835563828514,-3.001332515850663e-11
157,1257.8334509002111,-2.8194335754960775e-11
158,1257.8833454175708,-2.7284841053187847e-11
159,1257.9332399349305,-2.546585164964199e-11
160,1257.9831344522902,-2.4556356947869062e-11
161,1258.0330289696499,-2.2737367544323206e-11
162,1258.0829234870096,-2.1827872842550278e-11
163,1258.1328180043693,-2.000888343900442e-11
164,1258.182712521729,-1.7280399333685637e-11
165,1258.2326070390886,-1.546140993013978e-11
166,1258.2825015564483,-1.2732925824820995e-11
167,1258.3323960738078,-1.000444171950221e-11
168,1258.3822905911675,-8.185452315956354e-12
169,1258.4321851085272,-5.4569682106375694e-12
170,1258.4820796258869,-3.637978807091713e-12
171,1258.5319741432465,-2.7284841053187847e-12
172,1258.5818686606062,-9.094947017729282e-13
173,1258.631763177966,0.0
174,1258.6816576953256,1.8189894035458565e-12
175,1258.7315522126853,3.637978807091713e-12
176,1258.781446730045,4.547473508864641e-12
177,1258.8313412474047,6.366462912410498e-12
178,1258.8812357647641,7.275957614183426e-12
179,1258.9311302821238,9.094947017729282e-12
180,1258.9810247994835,9.094947017729282e-12
181,1259.0309193168432,9.094947017729282e-12
182,1259.080813834203,9.094947017729282e-12
183,1259.1307083515626,9.094947017729282e-12
184,1259.1806028689223,1.000444171950221e-11
185,1259.230497386282,1.0913936421275139e-11
186,1259.2803919036417,1.1823431123048067e-11
187,1259.3302864210013,1.1823431123048067e-11
188,1259.3801809383608,1.2732925824820995e-11
189,1259.4300754557205,1.3642420526593924e-11
190,1259.4799699730802,1.4551915228366852e-11
191,1259.5298644904399,1.546140993013978e-11
192,1259.5797590077996,1.6370904631912708e-11
193,1259.6296535251593,1.7280399333685637e-11
194,1259.679548042519,1.8189894035458565e-11
195,1259.7294425598786,1.9099388737231493e-11
196,1259.7793370772383,2.1827872842550278e-11
197,1259.829231594598,2.2737367544323206e-11
198,1259.8791261119577,2.4556356947869062e-11
199,1259.9290206293172,2.637534635141492e-11
