freq,epsilon_r       ,epsilon_i       
80000000000,1.653,-0.00116
80028571429,1.653,-0.00116
80057142857,1.653,-0.00116
80085714286,1.653,-0.00116
80114285714,1.653,-0.00116
80142857143,1.653,-0.00116
80171428571,1.653,-0.00116
80200000000,1.653,-0.00116
80228571429,1.653,-0.00115
80257142857,1.653,-0.00115
80285714286,1.653,-0.00114
80314285714,1.653,-0.00113
80342857143,1.653,-0.00113
80371428571,1.653,-0.00112
80400000000,1.653,-0.00111
80428571429,1.653,-0.00109
80457142857,1.653,-0.00108
80485714286,1.653,-0.00107
80514285714,1.653,-0.00106
80542857143,1.653,-0.00104
80571428571,1.654,-0.00103
80600000000,1.654,-0.00101
80628571429,1.654,-0.00099
80657142857,1.654,-0.00097
80685714286,1.654,-0.00095
80714285714,1.654,-0.00093
80742857143,1.654,-0.00091
80771428571,1.654,-0.00089
80800000000,1.654,-0.00087
80828571429,1.654,-0.00098
80857142857,1.654,-0.00095
80885714286,1.654,-0.00093
80914285714,1.654,-0.00090
80942857143,1.654,-0.00088
80971428571,1.654,-0.00100
81000000000,1.654,-0.00098
81028571429,1.654,-0.00096
81057142857,1.654,-0.00093
81085714286,1.654,-0.00073
81114285714,1.654,-0.00071
81142857143,1.654,-0.00065
81171428571,1.654,-0.00062
81200000000,1.654,-0.00060
81228571429,1.654,-0.00057
81257142857,1.654,-0.00054
81285714286,1.654,-0.00042
81314285714,1.654,-0.00039
81342857143,1.654,-0.00036
81371428571,1.654,-0.00033
81400000000,1.654,-0.00034
81428571429,1.654,-0.00031
81457142857,1.654,-0.00027
81485714286,1.654,-0.00024
81514285714,1.654,-0.00021
81542857143,1.654,-0.00020
81571428571,1.654,-0.00016
81600000000,1.655,-0.00013
81628571429,1.655,-0.00010
81657142857,1.655,-0.00007
81685714286,1.655,-0.00004
81714285714,1.655,0.00001
81742857143,1.655,0.00005
81771428571,1.655,0.00008
81800000000,1.655,0.00011
81828571429,1.655,0.00014
81857142857,1.655,0.00017
81885714286,1.655,0.00020
81914285714,1.655,0.00022
81942857143,1.655,0.00025
81971428571,1.655,0.00028
82000000000,1.655,0.00030
82028571429,1.655,0.00033
82057142857,1.655,0.00035
82085714286,1.655,0.00038
82114285714,1.655,0.00040
82142857143,1.655,0.00043
82171428571,1.655,0.00045
82200000000,1.655,0.00047
82228571429,1.655,0.00059
82257142857,1.655,0.00061
82285714286,1.655,0.00063
82314285714,1.655,0.00065
82342857143,1.655,0.00067
82371428571,1.655,0.00068
82400000000,1.655,0.00062
82428571429,1.655,0.00064
82457142857,1.655,0.00065
82485714286,1.655,0.00067
82514285714,1.655,0.00069
82542857143,1.655,0.00070
82571428571,1.655,0.00072
82600000000,1.655,0.00073
82628571429,1.655,0.00075
82657142857,1.655,0.00076
82685714286,1.655,0.00077
82714285714,1.655,0.00078
82742857143,1.655,0.00079
82771428571,1.655,0.00080
82800000000,1.655,0.00081
82828571429,1.655,0.00082
82857142857,1.655,0.00083
82885714286,1.655,0.00084
82914285714,1.655,0.00084
82942857143,1.655,0.00085
82971428571,1.655,0.00085
83000000000,1.655,0.00086
83028571429,1.655,0.00086
83057142857,1.655,0.00086
83085714286,1.655,0.00087
83114285714,1.655,0.00087
83142857143,1.655,0.00087
83171428571,1.655,0.00087
83200000000,1.655,0.00087
83228571429,1.655,0.00087
83257142857,1.656,0.00087
83285714286,1.656,0.00087
83314285714,1.656,0.00086
83342857143,1.656,0.00086
83371428571,1.656,0.00086
83400000000,1.656,0.00085
83428571429,1.656,0.00085
83457142857,1.656,0.00084
83485714286,1.656,0.00083
83514285714,1.656,0.00095
83542857143,1.656,0.00094
83571428571,1.656,0.00094
83600000000,1.656,0.00093
83628571429,1.656,0.00093
83657142857,1.656,0.00092
83685714286,1.656,0.00091
83714285714,1.656,0.00090
83742857143,1.656,0.00089
83771428571,1.656,0.00088
83800000000,1.656,0.00074
83828571429,1.656,0.00072
83857142857,1.656,0.00071
83885714286,1.656,0.00070
83914285714,1.656,0.00069
83942857143,1.656,0.00067
83971428571,1.656,0.00066
84000000000,1.656,0.00065
84028571429,1.656,0.00063
84057142857,1.656,0.00062
84085714286,1.656,0.00061
84114285714,1.656,0.00059
84142857143,1.656,0.00058
84171428571,1.656,0.00056
84200000000,1.656,0.00055
84228571429,1.656,0.00053
84257142857,1.656,0.00052
84285714286,1.656,0.00050
84314285714,1.656,0.00048
84342857143,1.656,0.00053
84371428571,1.656,0.00052
84400000000,1.656,0.00050
84428571429,1.656,0.00049
84457142857,1.656,0.00047
84485714286,1.656,0.00046
84514285714,1.656,0.00044
84542857143,1.656,0.00043
84571428571,1.656,0.00041
84600000000,1.656,0.00040
84628571429,1.656,0.00031
84657142857,1.656,0.00029
84685714286,1.656,0.00028
84714285714,1.657,0.00029
84742857143,1.657,0.00028
84771428571,1.657,0.00026
84800000000,1.657,0.00025
84828571429,1.657,0.00024
84857142857,1.657,0.00022
84885714286,1.657,0.00021
84914285714,1.657,0.00019
84942857143,1.657,0.00014
84971428571,1.657,0.00013
85000000000,1.657,0.00011
85028571429,1.657,0.00010
85057142857,1.657,0.00008
85085714286,1.657,0.00007
85114285714,1.657,0.00005
85142857143,1.657,0.00004
85171428571,1.657,0.00003
85200000000,1.657,0.00002
85228571429,1.657,0.00000
85257142857,1.657,-0.00001
85285714286,1.657,-0.00002
85314285714,1.657,-0.00003
85342857143,1.657,-0.00004
85371428571,1.657,-0.00005
85400000000,1.657,-0.00006
85428571429,1.657,-0.00007
85457142857,1.657,-0.00008
85485714286,1.657,-0.00009
85514285714,1.657,-0.00010
85542857143,1.657,-0.00011
85571428571,1.657,-0.00012
85600000000,1.657,-0.00013
85628571429,1.657,-0.00014
85657142857,1.657,-0.00015
85685714286,1.657,-0.00015
85714285714,1.657,-0.00016
85742857143,1.657,-0.00017
85771428571,1.657,-0.00017
85800000000,1.657,-0.00018
85828571429,1.658,-0.00019
85857142857,1.658,-0.00019
85885714286,1.658,-0.00020
85914285714,1.658,-0.00020
85942857143,1.658,-0.00021
85971428571,1.658,-0.00021
86000000000,1.658,-0.00021
86028571429,1.658,-0.00022
86057142857,1.658,-0.00027
86085714286,1.658,-0.00027
86114285714,1.658,-0.00027
86142857143,1.658,-0.00027
86171428571,1.658,-0.00027
86200000000,1.658,-0.00026
86228571429,1.658,-0.00026
86257142857,1.658,-0.00026
86285714286,1.658,-0.00025
86314285714,1.658,-0.00023
86342857143,1.658,-0.00023
86371428571,1.658,-0.00023
86400000000,1.658,-0.00023
86428571429,1.658,-0.00023
86457142857,1.658,-0.00022
86485714286,1.658,-0.00022
86514285714,1.658,-0.00022
86542857143,1.658,-0.00022
86571428571,1.658,-0.00021
86600000000,1.658,-0.00021
86628571429,1.658,-0.00020
86657142857,1.658,-0.00020
86685714286,1.658,-0.00019
86714285714,1.658,-0.00019
86742857143,1.658,-0.00018
86771428571,1.658,-0.00018
86800000000,1.658,-0.00017
86828571429,1.658,-0.00017
86857142857,1.658,-0.00016
86885714286,1.659,-0.00015
86914285714,1.659,-0.00015
86942857143,1.659,-0.00015
86971428571,1.659,-0.00014
87000000000,1.659,-0.00013
87028571429,1.659,-0.00012
87057142857,1.659,-0.00012
87085714286,1.659,-0.00011
87114285714,1.659,-0.00010
87142857143,1.659,-0.00009
87171428571,1.659,-0.00008
87200000000,1.659,-0.00007
87228571429,1.659,-0.00007
87257142857,1.659,-0.00006
87285714286,1.659,-0.00005
87314285714,1.659,-0.00004
87342857143,1.659,-0.00003
87371428571,1.659,-0.00002
87400000000,1.659,-0.00001
87428571429,1.659,0.00000
87457142857,1.659,0.00001
87485714286,1.659,0.00004
87514285714,1.659,0.00006
87542857143,1.659,0.00007
87571428571,1.659,0.00008
87600000000,1.659,0.00009
87628571429,1.659,0.00010
87657142857,1.659,0.00012
87685714286,1.659,0.00013
87714285714,1.659,0.00014
87742857143,1.659,0.00015
87771428571,1.659,0.00017
87800000000,1.659,0.00018
87828571429,1.659,0.00019
87857142857,1.659,0.00021
87885714286,1.660,0.00022
87914285714,1.660,0.00023
87942857143,1.660,0.00030
87971428571,1.660,0.00039
88000000000,1.660,0.00040
88028571429,1.660,0.00041
88057142857,1.660,0.00042
88085714286,1.660,0.00038
88114285714,1.660,0.00039
88142857143,1.660,0.00040
88171428571,1.660,0.00042
88200000000,1.660,0.00043
88228571429,1.660,0.00045
88257142857,1.660,0.00046
88285714286,1.660,0.00047
88314285714,1.660,0.00049
88342857143,1.660,0.00050
88371428571,1.660,0.00052
88400000000,1.660,0.00053
88428571429,1.660,0.00054
88457142857,1.660,0.00049
88485714286,1.660,0.00051
88514285714,1.660,0.00052
88542857143,1.660,0.00054
88571428571,1.660,0.00055
88600000000,1.660,0.00056
88628571429,1.660,0.00058
88657142857,1.660,0.00059
88685714286,1.660,0.00060
88714285714,1.660,0.00062
88742857143,1.660,0.00063
88771428571,1.660,0.00064
88800000000,1.660,0.00065
88828571429,1.660,0.00067
88857142857,1.661,0.00068
88885714286,1.661,0.00069
88914285714,1.661,0.00071
88942857143,1.661,0.00085
88971428571,1.661,0.00086
89000000000,1.661,0.00087
89028571429,1.661,0.00089
89057142857,1.661,0.00090
89085714286,1.661,0.00091
89114285714,1.661,0.00092
89142857143,1.661,0.00093
89171428571,1.661,0.00094
89200000000,1.661,0.00094
89228571429,1.661,0.00083
89257142857,1.661,0.00084
89285714286,1.661,0.00085
89314285714,1.661,0.00086
89342857143,1.661,0.00087
89371428571,1.661,0.00088
89400000000,1.661,0.00089
89428571429,1.661,0.00090
89457142857,1.661,0.00091
89485714286,1.661,0.00092
89514285714,1.661,0.00093
89542857143,1.661,0.00094
89571428571,1.661,0.00095
89600000000,1.661,0.00095
89628571429,1.661,0.00096
89657142857,1.661,0.00097
89685714286,1.661,0.00098
89714285714,1.662,0.00098
89742857143,1.662,0.00099
89771428571,1.662,0.00100
89800000000,1.662,0.00100
89828571429,1.662,0.00101
89857142857,1.662,0.00102
89885714286,1.662,0.00102
89914285714,1.662,0.00103
89942857143,1.662,0.00103
89971428571,1.662,0.00104
90000000000,1.662,0.00104
90028571429,1.662,0.00105
90057142857,1.662,0.00105
90085714286,1.662,0.00105
90114285714,1.662,0.00106
90142857143,1.662,0.00106
90171428571,1.662,0.00106
90200000000,1.662,0.00107
90228571429,1.662,0.00107
90257142857,1.662,0.00107
90285714286,1.662,0.00107
90314285714,1.662,0.00107
90342857143,1.662,0.00108
90371428571,1.662,0.00108
90400000000,1.662,0.00108
90428571429,1.662,0.00108
90457142857,1.662,0.00108
90485714286,1.663,0.00108
90514285714,1.663,0.00108
90542857143,1.663,0.00108
90571428571,1.663,0.00108
90600000000,1.663,0.00108
90628571429,1.663,0.00107
90657142857,1.663,0.00107
90685714286,1.663,0.00107
90714285714,1.663,0.00107
90742857143,1.663,0.00107
90771428571,1.663,0.00106
90800000000,1.663,0.00106
90828571429,1.663,0.00106
90857142857,1.663,0.00106
90885714286,1.663,0.00105
90914285714,1.663,0.00105
90942857143,1.663,0.00105
90971428571,1.663,0.00104
91000000000,1.663,0.00104
91028571429,1.663,0.00103
91057142857,1.663,0.00103
91085714286,1.663,0.00102
91114285714,1.663,0.00102
91142857143,1.663,0.00101
91171428571,1.663,0.00101
91200000000,1.663,0.00100
91228571429,1.663,0.00100
91257142857,1.664,0.00099
91285714286,1.664,0.00098
91314285714,1.664,0.00098
91342857143,1.664,0.00097
91371428571,1.664,0.00096
91400000000,1.664,0.00096
91428571429,1.664,0.00095
91457142857,1.664,0.00094
91485714286,1.664,0.00108
91514285714,1.664,0.00108
91542857143,1.664,0.00107
91571428571,1.664,0.00107
91600000000,1.664,0.00091
91628571429,1.664,0.00090
91657142857,1.664,0.00089
91685714286,1.664,0.00088
91714285714,1.664,0.00087
91742857143,1.664,0.00087
91771428571,1.664,0.00086
91800000000,1.664,0.00085
91828571429,1.664,0.00084
91857142857,1.664,0.00083
91885714286,1.664,0.00082
91914285714,1.664,0.00081
91942857143,1.664,0.00081
91971428571,1.664,0.00080
92000000000,1.664,0.00079
92028571429,1.664,0.00078
92057142857,1.665,0.00077
92085714286,1.665,0.00076
92114285714,1.665,0.00075
92142857143,1.665,0.00074
92171428571,1.665,0.00073
92200000000,1.665,0.00072
92228571429,1.665,0.00071
92257142857,1.665,0.00071
92285714286,1.665,0.00070
92314285714,1.665,0.00069
92342857143,1.665,0.00068
92371428571,1.665,0.00067
92400000000,1.665,0.00066
92428571429,1.665,0.00065
92457142857,1.665,0.00064
92485714286,1.665,0.00063
92514285714,1.665,0.00062
92542857143,1.665,0.00061
92571428571,1.665,0.00061
92600000000,1.665,0.00060
92628571429,1.665,0.00059
92657142857,1.665,0.00058
92685714286,1.665,0.00057
92714285714,1.665,0.00056
92742857143,1.665,0.00055
92771428571,1.665,0.00054
92800000000,1.665,0.00054
92828571429,1.665,0.00053
92857142857,1.666,0.00052
92885714286,1.666,0.00051
92914285714,1.666,0.00050
92942857143,1.666,0.00049
92971428571,1.666,0.00049
93000000000,1.666,0.00048
93028571429,1.666,0.00047
93057142857,1.666,0.00046
93085714286,1.666,0.00046
93114285714,1.666,0.00045
93142857143,1.666,0.00044
93171428571,1.666,0.00044
93200000000,1.666,0.00043
93228571429,1.666,0.00042
93257142857,1.666,0.00042
93285714286,1.666,0.00041
93314285714,1.666,0.00045
93342857143,1.666,0.00045
93371428571,1.666,0.00044
93400000000,1.666,0.00044
93428571429,1.666,0.00043
93457142857,1.666,0.00050
93485714286,1.666,0.00050
93514285714,1.666,0.00049
93542857143,1.666,0.00049
93571428571,1.666,0.00049
93600000000,1.666,0.00049
93628571429,1.666,0.00049
93657142857,1.666,0.00049
93685714286,1.667,0.00049
93714285714,1.667,0.00049
93742857143,1.667,0.00049
93771428571,1.667,0.00049
93800000000,1.667,0.00049
93828571429,1.667,0.00032
93857142857,1.667,0.00036
93885714286,1.667,0.00036
93914285714,1.667,0.00036
93942857143,1.667,0.00036
93971428571,1.667,0.00037
94000000000,1.667,0.00042
94028571429,1.667,0.00043
94057142857,1.667,0.00043
94085714286,1.667,0.00035
94114285714,1.667,0.00035
94142857143,1.667,0.00035
94171428571,1.667,0.00035
94200000000,1.667,0.00035
94228571429,1.667,0.00036
94257142857,1.667,0.00036
94285714286,1.667,0.00036
94314285714,1.667,0.00036
94342857143,1.667,0.00037
94371428571,1.667,0.00037
94400000000,1.667,0.00037
94428571429,1.667,0.00037
94457142857,1.668,0.00038
94485714286,1.668,0.00038
94514285714,1.668,0.00039
94542857143,1.668,0.00039
94571428571,1.668,0.00039
94600000000,1.668,0.00040
94628571429,1.668,0.00040
94657142857,1.668,0.00041
94685714286,1.668,0.00041
94714285714,1.668,0.00042
94742857143,1.668,0.00042
94771428571,1.668,0.00035
94800000000,1.668,0.00036
94828571429,1.668,0.00036
94857142857,1.668,0.00037
94885714286,1.668,0.00037
94914285714,1.668,0.00037
94942857143,1.668,0.00038
94971428571,1.668,0.00038
95000000000,1.668,0.00039
95028571429,1.668,0.00039
95057142857,1.668,0.00040
95085714286,1.668,0.00040
95114285714,1.668,0.00041
