freq,ref_ind,epsilon_r,epsilon_i
1074022346368.7151,1.89,3.5721,0.053
1084916201117.3184,1.89,3.5721,0.053
1095810055865.9216,1.89,3.5721,0.053
1106703910614.5251,1.89,3.5721,0.053
1117597765363.1284,1.89,3.5721,0.053
1128491620111.732,1.89,3.5721,0.053
1139385474860.3352,1.89,3.5721,0.053
1150279329608.9385,1.89,3.5721,0.053
1161173184357.542,1.89,3.5721,0.053
1172067039106.1453,1.89,3.5721,0.053
1182960893854.7485,1.89,3.5721,0.053
1193854748603.352,1.89,3.5721,0.053
1204748603351.9553,1.89,3.5721,0.053
1215642458100.5586,1.89,3.5721,0.053
1226536312849.1619,1.89,3.5721,0.053
1237430167597.7651,1.89,3.5721,0.053
1248324022346.3687,1.89,3.5721,0.053
1259217877094.972,1.89,3.5721,0.053
1270111731843.5752,1.89,3.5721,0.053
1281005586592.1787,1.89,3.5721,0.053
1291899441340.782,1.89,3.5721,0.053
1302793296089.3853,1.89,3.5721,0.053
1313687150837.9888,1.89,3.5721,0.053
1324581005586.592,1.89,3.5721,0.053
1335474860335.1953,1.89,3.5721,0.053
1346368715083.7988,1.89,3.5721,0.053
1357262569832.402,1.89,3.5721,0.053
1368156424581.0054,1.89,3.5721,0.053
1379050279329.609,1.89,3.5721,0.053
1389944134078.2122,1.89,3.5721,0.053
1400837988826.8157,1.89,3.5721,0.053
1411731843575.419,1.89,3.5721,0.053
1422625698324.0222,1.89,3.5721,0.053
1433519553072.6257,1.89,3.5721,0.053
1444413407821.229,1.89,3.5721,0.053
1455307262569.8323,1.89,3.5721,0.053
1466201117318.4358,1.89,3.5721,0.053
1477094972067.039,1.89,3.5721,0.053
1487988826815.6423,1.89,3.5721,0.053
1498882681564.2458,1.89,3.5721,0.053
1509776536312.849,1.89,3.5721,0.053
1520670391061.4526,1.89,3.5721,0.053
1531564245810.056,1.89,3.5721,0.053
1542458100558.6592,1.89,3.5721,0.053
1553351955307.2625,1.89,3.5721,0.053
1564245810055.8657,1.89,3.5721,0.053
1575139664804.469,1.89,3.5721,0.053
1586033519553.0725,1.89,3.5721,0.053
1596927374301.6758,1.89,3.5721,0.053
1607821229050.279,1.89,3.5721,0.053
1618715083798.8826,1.89,3.5721,0.053
1629608938547.4858,1.89,3.5721,0.053
1640502793296.089,1.89,3.5721,0.053
1651396648044.6926,1.89,3.5721,0.053
1662290502793.296,1.89,3.5721,0.053
1673184357541.8994,1.89,3.5721,0.053
1684078212290.5027,1.89,3.5721,0.053
1694972067039.106,1.89,3.5721,0.053
1705865921787.7095,1.89,3.5721,0.053
1716759776536.3127,1.89,3.5721,0.053
1727653631284.916,1.89,3.5721,0.053
1738547486033.5195,1.89,3.5721,0.053
1749441340782.1228,1.89,3.5721,0.053
1760335195530.726,1.89,3.5721,0.053
1771229050279.3296,1.89,3.5721,0.053
1782122905027.9329,1.89,3.5721,0.053
1793016759776.5364,1.89,3.5721,0.053
1803910614525.1396,1.89,3.5721,0.053
1814804469273.743,1.89,3.5721,0.053
1825698324022.3464,1.89,3.5721,0.053
1836592178770.9497,1.89,3.5721,0.053
1847486033519.553,1.89,3.5721,0.053
1858379888268.1562,1.89,3.5721,0.053
1869273743016.7595,1.89,3.5721,0.053
1880167597765.3628,1.89,3.5721,0.053
1891061452513.9663,1.89,3.5721,0.053
1901955307262.5696,1.89,3.5721,0.053
1912849162011.1729,1.89,3.5721,0.053
1923743016759.7764,1.89,3.5721,0.053
1934636871508.3796,1.89,3.5721,0.053
1945530726256.9832,1.89,3.5721,0.053
1956424581005.5864,1.89,3.5721,0.053
1967318435754.1897,1.89,3.5721,0.053
1978212290502.7932,1.89,3.5721,0.053
1989106145251.3965,1.89,3.5721,0.053
2000000000000.0,1.89,3.5721,0.053
